context,function,mop,mopLabel,code,label,245abbr,245label,note,isLabelFun
performance,,kca,carillon,1710,Carillon,,,,FALSE
performance,,pun,percussion – unspecified,1717,Idiophones par percussion (divers),,,,FALSE
performance,,pun__y,percussion – ethnique,1718,Idiophones par percussion (musique ethnique),,,,FALSE
performance,,,,1728,Idiophones secoués (musique ethnique),,,,FALSE
performance,,mjh,jew’s harp,1730,Guimbarde,,,,FALSE
performance,,mjh,jew’s harp,1738,Guimbarde (musique ethnique),,,,FALSE
performance,,,,1738,Idiophones pincés (musique ethnique),,,,FALSE
performance,,mgh,glassharmonica,1740,Harmonica de verre,,,,FALSE
performance,,,,1747,Cristallophones,,,,FALSE
performance,,,,1748,Idiophones frottés (musique ethnique),,,,FALSE
performance,,ema,ondes Martenot,1750,Ondes Martenot,,,,FALSE
performance,,esy,synthetizer,1760,Synthétiseur,synth.,synthétiseur,,FALSE
performance,,eun,electronic – non specified,1767,Instrument électronique,,,,FALSE
performance,,eun,electronic – non specified,1770,Instrument électronique (non autonome),,,,FALSE
performance,,oun,orchestra – unspecified,1780,Orchestre,orch.,orchestre,,FALSE
performance,,oie,instrumental ensemble,1787,Ensembles (divers),,,,FALSE
performance,,oie,instrumental ensemble,1790,Ensemble instrumental,ens. instr.,ensemble instrumental,,FALSE
performance,,oie,instrumental ensemble,1797,Groupe instrumental,groupe instr.,groupe instrumental,,FALSE
performance,,oie,instrumental ensemble,1798,Ensemble instrumental (musique ethnique),,,,FALSE
performance,,cun,choir - unspecified,,,choeur,choeur (musique classique),,FALSE
performance,,cun,choir - unspecified,,,choeurs,"choeurs (jazz, rock, variétés)",,FALSE
performance,,cmi,mixed choir,1800,Chœur mixte,,,,FALSE
performance,,czz,choir other,1807,Chœur à voix égales,,,,FALSE
performance,,cve,vocal ensemble,1810,Ensemble vocal,ens voc.,ensemble vocal,,FALSE
performance,,cve,vocal ensemble,1817,Groupe vocal,groupe voc.,vocal,,FALSE
performance,,cve,vocal ensemble,1818,Ensemble vocal (musique ethnique),,,,FALSE
performance,,oiv,vocal and instrumental ensemble,1820,Ensemble vocal et instrumental,ens voc. et. instr.,ensemble vocal et instrumental,,FALSE
performance,,oiv,vocal and instrumental ensemble,1827,Groupe vocal et instrumental,groupe voc. et instr.,groupe vocal et instrumental,,FALSE
performance,,oiv,vocal and instrumental ensemble,1828,Ensemble vocal et instrumental (musique ethnique),,,,FALSE
performance,,ost,string orchestra,1870,Ensemble de cordes,,,,FALSE
performance,,ost,string orchestra,1878,Ensemble de cordes (musique ethnique),,,,FALSE
performance,,owi,wind orchestra,1880,Ensemble à vent,,,,FALSE
performance,,owi,wind orchestra,1888,Ensemble à vent (musique ethnique),,,,FALSE
performance,,owi,wind orchestra,1890,Ensemble de cuivres,,,,FALSE
performance,,owi,wind orchestra,1898,Ensemble de cuivres (musique ethnique),,,,FALSE
performance,,kpf,piano,1900,Piano à 4 mains,,,,FALSE
performance,,kfp,fortepiano,1910,Pianoforte à 4 mains,,,,FALSE
performance,,kce,celesta,1920,Célesta,,,,FALSE
performance,,wbp,bagpipe,1930,Cornemuse,,,,FALSE
performance,,wbp,bagpipe,1937,Cornemuses (diverses),,,,FALSE
performance,,wbp,bagpipe,1938,Cornemuses (musique ethnique),,,,FALSE
performance,,,,1940,Washboard,,,,FALSE
performance,,,,1947,Idiophones raclés (divers),,,,FALSE
performance,,,,1948,Idiophones raclés (musique ethnique),,,,FALSE
performance,musicien (interprète),,,1980,Interprète (autre),,,,TRUE
composition,adaptateur,,,0010,Adaptateur,,,,TRUE
composition,adaptateur,,,0011,Adaptateur présumé,,,,TRUE
composition,adaptateur,,,0013,Adaptateur prétendu,,,,TRUE
composition,auteur des notes,,,0040,Annotateur,,,,TRUE
composition,auteur des notes,,,0041,Annotateur présumé,,,,TRUE
composition,auteur des notes,,,0043,Annotateur prétendu,,,,TRUE
composition,arrangeur,,,0050,Arrangeur,arr.,arrangement,,TRUE
composition,arrangeur,,,0051,Arrangeur présumé,,,,TRUE
composition,arrangeur,,,0053,Arrangeur prétendu,,,,TRUE
composition,auteur du texte,,,0070,Auteur du texte,aut.,auteur,,TRUE
composition,auteur du texte,,,0071,Auteur présumé du texte,,,,TRUE
composition,auteur du texte,,,0073,Auteur prétendu du texte,,,,TRUE
composition,auteur de l’argument,,,0080,Auteur de l'argument,,,,TRUE
composition,auteur de l’argument,,,0081,Auteur présumé de l'argument,,,,TRUE
composition,auteur de l’argument,,,0083,Auteur prétendu de l'argument,,,,TRUE
composition,,,,0120,Auteur du commentaire,,,,TRUE
composition,,,,0121,Auteur présumé du commentaire,,,,TRUE
composition,,,,0123,Auteur prétendu du commentaire,,,,TRUE
composition,auteur du texte,,,0130,Auteur du matériel d'accompagnement,,,dans une F28 associée au F22 correspondant à un matériel d’accompagnement - voir mapping lignes 94-97,TRUE
composition,créateur de la réduction musicale,,,0790,Auteur de la réduction musicale,réduct.,réduction,,FALSE
composition,chorégraphe,,,0160,Chorégraphe,,,,TRUE
composition,chorégraphe,,,0161,Chorégraphe présumé,,,,TRUE
composition,chorégraphe,,,0163,Chorégraphe prétendu,,,,TRUE
composition,collecteur,,,0180,Collecteur,,,,TRUE
composition,commanditaire,,,0190,Commanditaire,,,,TRUE
