function,mop,mopLabel,code,label,245abbr,245label,isLabelFun
,kpf__r,electric piano,1569,Piano électrique,électr.,électrique,FALSE
,kfp,fortepiano,1570,Pianoforte,pf,piano-forte,FALSE
,khp,harpsichord,1580,Clavecin,clav.,clavecin,FALSE
,khp,harpsichord,1587,Clavecins (divers),,,FALSE
,kor,organ,1590,Orgue,org.,orgue,FALSE
,kor,organ,,,org. pos.,orgue positif,FALSE
,kor,organ,1597,Orgues (divers),,,FALSE
,kor,organ,1598,Orgue (musique ethnique),,,FALSE
,kor__r,electric organ,1599,Orgue électronique,,,FALSE
,mbo,barrel organ,1600,Orgue mécanique,,,FALSE
,mbo,barrel organ,1607,Orgues mécaniques (divers),,,FALSE
,khm,harmonium,1610,Harmonium,,,FALSE
,kcl,clavichord,1620,Clavicorde,,,FALSE
,kac,accordion,1630,Accordéon,acrdn,accordéon chromatique,FALSE
,kac,accordion,,,acrdn diato.,accordéon diatonique,FALSE
,kac,accordion,1637,Accordéons (divers),,,FALSE
,kac,accordion,1638,Accordéon (musique ethnique),,,FALSE
,sun,"strings, bowed – unspecified",,,vièle à archet,vièle à archet,FALSE
,mhg,hurdy-gurdy,1640,Vielle à roue,vielle,vielle à roue,FALSE
,mhg,hurdy-gurdy,1649,Vielle à roue électrique,vielle électr.,vielle à roue électrique,FALSE
,pds,drums,1650,Batterie,batt.,batterie,FALSE
,pds,drums,1651,Batterie (interprète présumé),,,FALSE
,pds,drums,1653,Batterie (interprète prétendu),,,FALSE
,pun,percussion – unspecified,1657,Membranophones (divers),,,FALSE
,pun__y,percussion – ethnique,1658,Membranophones (musique ethnique),,,FALSE
,pds,drums,1659,Batterie électrique,électr.,électrique,FALSE
,pdr,drum,1660,Tambour,tamb.,tambour,FALSE
,pun,percussion – unspecified,1667,Percussions,perc.,percussions,FALSE
,pun__y,percussion – ethnique,1668,Percussions (musique ethnique),,,FALSE
,pti,timpani,1670,Timbales,timb.,timbales,FALSE
,pxy,xylophone,1680,Xylophone,xyl.,xylophone,FALSE
,pxy,xylophone,1688,Xylophones (musique ethnique),,,FALSE
,pmb,marimba,1690,Marimba,,,FALSE
,pvi,vibraphone,1700,Vibraphone,vibr.,vibraphone,FALSE
,pme,metallophone,1707,Métallophones (divers),,,FALSE
,kca,carillon,1710,Carillon,,,FALSE
,pun,percussion – unspecified,1717,Idiophones par percussion (divers),,,FALSE
,pun__y,percussion – ethnique,1718,Idiophones par percussion (musique ethnique),,,FALSE
,,,1728,Idiophones secoués (musique ethnique),,,FALSE
,mjh,jew’s harp,1730,Guimbarde,,,FALSE
,mjh,jew’s harp,1738,Guimbarde (musique ethnique),,,FALSE
,,,1738,Idiophones pincés (musique ethnique),,,FALSE
,mgh,glassharmonica,1740,Harmonica de verre,,,FALSE
,,,1747,Cristallophones,,,FALSE
,,,1748,Idiophones frottés (musique ethnique),,,FALSE
,ema,ondes Martenot,1750,Ondes Martenot,,,FALSE
,esy,synthetizer,1760,Synthétiseur,synth.,synthétiseur,FALSE
,eun,electronic – non specified,1767,Instrument électronique,,,FALSE
,eun,electronic – non specified,1770,Instrument électronique (non autonome),,,FALSE
,oun,orchestra – unspecified,1780,Orchestre,orch.,orchestre,FALSE
,oie,instrumental ensemble,1787,Ensembles (divers),,,FALSE
,oie,instrumental ensemble,1790,Ensemble instrumental,ens. instr.,ensemble instrumental,FALSE
,oie,instrumental ensemble,1797,Groupe instrumental,groupe instr.,groupe instrumental,FALSE
,oie,instrumental ensemble,1798,Ensemble instrumental (musique ethnique),,,FALSE
,cun,choir - unspecified,,,choeur,choeur (musique classique),FALSE
,cun,choir - unspecified,,,choeurs,"choeurs (jazz, rock, variétés)",FALSE
,cmi,mixed choir,1800,Chœur mixte,,,FALSE
,czz,choir other,1807,Chœur à voix égales,,,FALSE
,cve,vocal ensemble,1810,Ensemble vocal,ens voc.,ensemble vocal,FALSE
,cve,vocal ensemble,1817,Groupe vocal,groupe voc.,vocal,FALSE
,cve,vocal ensemble,1818,Ensemble vocal (musique ethnique),,,FALSE
,oiv,vocal and instrumental ensemble,1820,Ensemble vocal et instrumental,ens voc. et. instr.,ensemble vocal et instrumental,FALSE
,oiv,vocal and instrumental ensemble,1827,Groupe vocal et instrumental,groupe voc. et instr.,groupe vocal et instrumental,FALSE
