iaml;name;frenchName;intermarc;note
pds;drums;batterie;;Pas d’équivalent dans le format source
pfc;finger cymbals;cymbales digitales;;Pas d’équivalent dans le format source
pfd;friction drum;tambour à friction;;Pas d’équivalent dans le format source
pfl;flexatone;;;Pas d’équivalent dans le format source
pgl;glockenspiel;;;Pas d’équivalent dans le format source
pgn;gun;canon;;Pas d’équivalent dans le format source
pgo;gong;tam tam;;Pas d’équivalent dans le format source
pgu;güiro;;;Pas d’équivalent dans le format source
pha;hammer;marteau;;Pas d’équivalent dans le format source
phb;handbell;cloches à main;;Pas d’équivalent dans le format source
phh;hi-hat;cymbales charleston;;Pas d’équivalent dans le format source
pir;intonarumori;;;Pas d’équivalent dans le format source
pje;jembe;djembé;;Pas d’équivalent dans le format source
pji;jingles;grelotse;;Pas d’équivalent dans le format source
pli;lithophone;lithophone;;Pas d’équivalent dans le format source
plj;lujon;;;Pas d’équivalent dans le format source
pmb;marimba;marimbaphone;pc;
pmc;maracas;;;Pas d’équivalent dans le format source
pmd;military drum;tambour militaire;;Pas d’équivalent dans le format source
pme;metallophone;métallophone;;Pas d’équivalent dans le format source
pnv;nail violin;violon de fer;;Pas d’équivalent dans le format source
pra;ratchett;crécelle;;Pas d’équivalent dans le format source
prs;rain stick;bâton de pluie;;Pas d’équivalent dans le format source
prt;roto-toms;rototoms;;Pas d’équivalent dans le format source
psc;sizzle cymbals;cymbale cloutée;;Pas d’équivalent dans le format source
pse;sound-effect instrument;objet sonore;;Pas d’équivalent dans le format source
psl;slit-drum;tambour de bois à fente;;Pas d’équivalent dans le format source
psm;sistrum;sistre;;Pas d’équivalent dans le format source
psn;sirene;sirène;;Pas d’équivalent dans le format source
psp;sandpaper;blocs à papier de verre;;Pas d’équivalent dans le format source
pst;steel drum;tambour d'acier;;Pas d’équivalent dans le format source
psw;switch whip;fouet de verges;;Pas d’équivalent dans le format source
pta;tablas;;;Pas d’équivalent dans le format source
ptb;tabor;tambourin;;Pas d’équivalent dans le format source
ptc;turkish crescent;bonnet chinois;;Pas d’équivalent dans le format source
pte;temple block;bloc chinois;;Pas d’équivalent dans le format source
ptg;tuned gong;gong;;Pas d’équivalent dans le format source
pti;timpani;timbales;pa;
ptl;triangle;triangle;;Pas d’équivalent dans le format source
ptm;thunder machine;machine à tonnerre;;Pas d’équivalent dans le format source
pto;tarol;tarole;;Pas d’équivalent dans le format source
ptr;tambourine;tambour de basque;;Pas d’équivalent dans le format source
ptt;tom-tom;;;Pas d’équivalent dans le format source
ptx;txalaparta;;;Pas d’équivalent dans le format source
pun;percussion  unspecified;Percussions - non spécifié;pn;
pun;percussion  unspecified;Percussions  - inconnu;pu;
pun;percussion  unspecified;Percussions  - ethnique;py;+ suffixe ‘y’
pvi;vibraphone;vibraphone;;Pas d’équivalent dans le format source
pvs;vibra-slap;;;Pas d’équivalent dans le format source
pwh;whip;fouet;;Pas d’équivalent dans le format source
pwm;wind machine;machine à vent;;Pas d’équivalent dans le format source
pwo;woodblocks;blocs chinois de bois;;Pas d’équivalent dans le format source
pxr;xylorimba;xylorimba;;Pas d’équivalent dans le format source
pxy;xylophone;xylophone;pb;
pza;zarb;;;Pas d’équivalent dans le format source
pzz;percussion – other;percussions - autre;pz;
qce;live electronic conductor;chef du dispositif électronique;;Pas d’équivalent dans le format source
qch;choir conductor, chorus master;chef de chœur;;Pas d’équivalent dans le format source
qco;conductor;chef d'orchestre;;Pas d’équivalent dans le format source
qlc;light conductor;chef éclairagiste;;Pas d’équivalent dans le format source
qzz;conductor – other;directeur - autre;;Pas d’équivalent dans le format source
sar;arpeggione;arpeggione;;Pas d’équivalent dans le format source
sba;baryton;baryton;;Pas d’équivalent dans le format source
sbt;bassett;basset;;Pas d’équivalent dans le format source
sbu;bumbass;Basse de Flandre;;Pas d’équivalent dans le format source
scr;crwth;crouthe;;Pas d’équivalent dans le format source
sdb;double bass;contrebasse;sd;
sfi;fiddle, viol (family);vièle (famille);;Pas d’équivalent dans le format source
sgu;Gusle;;;Pas d’équivalent dans le format source
sli;lira da braccio;;;Pas d’équivalent dans le format source
sln;lirone;lira da gamba;;Pas d’équivalent dans le format source
sny;keyed fiddle;;;Pas d’équivalent dans le format source
sob;octobass;octobasse;;Pas d’équivalent dans le format source
spo;Kit;Pochette;;Pas d’équivalent dans le format source
spv;quinton;Quinton;;Pas d’équivalent dans le format source
sre;rebec;rebec;;Pas d’équivalent dans le format source
stm;trumpet marine;trompette marine;;Pas d’équivalent dans le format source
sun;string unspecified;Cordes frottées - non spécifié;sn;
sun;string unspecified;Cordes frottées - inconnu;su;
sun;string unspecified;Cordes frottées - ethnique;sy;+ suffixe ‘y’
sva;viola;alto;sb;
svc;cello;violoncelle;sc;
svd;viola d'amore;viole d'amour;sf;
sve;violone;contrebasse de viole;;Pas d’équivalent dans le format source
svg;viola da gamba;viole ;se;
svg;viola da gamba;viole de gambe;sg;
svl;violin;violon;sa;
svp;viola pomposa;;;Pas d’équivalent dans le format source
szz;string – other;cordes frottées - autres;sz;
tal;Archlute;archiluth;;Pas d’équivalent dans le format source
tat;harp-psaltery;arpanette;;Pas d’équivalent dans le format source
tbb;barbitos;;;Pas d’équivalent dans le format source
tbi;biwa;;;Pas d’équivalent dans le format source
tbj;banjo;;;Pas d’équivalent dans le format source
tbl;balalaika;balalaika;;Pas d’équivalent dans le format source
tbo;bouzouki;;;Pas d’équivalent dans le format source
tch;chitarrone;;;Pas d’équivalent dans le format source
tci;cittern;cistre;;Pas d’équivalent dans le format source
tcs;colascione;calichon;;Pas d’équivalent dans le format source
tct;citole;citole;;Pas d’équivalent dans le format source
tcz;cobza;;;Pas d’équivalent dans le format source
tgu;guitar;guitare;tb;
tha;harp;harpe;ta;
thg;hawaiian guitar;guitare hawaïenne;;Pas d’équivalent dans le format source
tih;Irish harp;Harpe celtique;;Pas d’équivalent dans le format source
tkh;kithara;;;Pas d’équivalent dans le format source
tko;kora;;;Pas d’équivalent dans le format source
tlf;lute (family);luth (famille);;Pas d’équivalent dans le format source
tlg;lyre-guitar;lyre-guitare;;Pas d’équivalent dans le format source
tlu;lute;luth;tc;
tma;mandolin;mandoline;td;
tmd;mandore;mandore;;Pas d’équivalent dans le format source
tpi;pipa;;;Pas d’équivalent dans le format source
tps;psaltery (plucked);psaltérion;;Pas d’équivalent dans le format source
tpx;phorminx;;;Pas d’équivalent dans le format source
tqa;qanum;;;Pas d’équivalent dans le format source
tsh;shamisen;;;Pas d’équivalent dans le format source
tsi;sitār;;;Pas d’équivalent dans le format source
tth;theorbo;théorbe;te;
ttn;tanbur;;;Pas d’équivalent dans le format source
tud;ud;oud;;Pas d’équivalent dans le format source
tuk;ukulele;;;Pas d’équivalent dans le format source
tun;plucked unspecified;Cordes pincées - non spécifié;tn;
tun;plucked unspecified;Cordes pincées -inconnu;tu;
tun;plucked unspecified;Cordes pincées - ethnique;ty;+ suffixe ‘y’
tvi;vihuela;;;Pas d’équivalent dans le format source
tzi;zither;cithare;;Pas d’équivalent dans le format source
tzz;plucked – other;cordes pincées - autre;tz;
val;alto;;vc;
vbr;baritone;baryton;ve;
vbr;baritone;basse-taille;vo;
vbs;bass;basse;vf;
vca;child alto;alto enfant;;Pas d’équivalent dans le format source
vcs;child soprano;soprano enfant;;Pas d’équivalent dans le format source
vcv;child voice;voix d’enfant;;Pas d’équivalent dans le format source
vhc;Haute-contre;haute-contre;vg;
vma;man's voice;voix d'homme;;Pas d’équivalent dans le format source
vms;mezzosoprano;mezzo-soprano;vb;
vms;mezzosoprano;bas-dessus;vm;
vrc;reciting child's voice;récitant enfant;;Pas d’équivalent dans le format source
vre;reciting voice;voix parlée;;Pas d’équivalent dans le format source
vrm;reciting man's voice;récitant homme;;Pas d’équivalent dans le format source
vrw;reciting woman's voice;récitante;;Pas d’équivalent dans le format source
vso;soprano;soprano ;va;
vso;soprano;dessus;vl;
vte;tenor;ténor;vd;
vte;tenor;taille;vn;
vun;voice – unspecified;voix élevée;vh;+ suffixe ‘j’
vun;voice – unspecified;voix  moyenne;vi;+ suffixe ‘k’
vun;voice – unspecified;voix  basse;vj;+ suffixe ‘l’
